"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;ENG;Isle of Man;Agneash;;W4.41;N54.24;10;
2;ENG;Isle of Man;Andreas;;W4.44;N54.36;10;
2;ENG;Isle of Man;Baldhoon;;W4.44;N54.22;10;
2;ENG;Isle of Man;Baldrine;;W4.42;N54.20;10;
2;ENG;Isle of Man;Baldwin;;W4.53;N54.19;10;
2;ENG;Isle of Man;Ballabeg;;W4.69;N54.09;10;
2;ENG;Isle of Man;Ballabeg;;W4.42;N54.20;10;
2;ENG;Isle of Man;Ballacannell;;W4.40;N54.21;10;
2;ENG;Isle of Man;Ballacarnane Beg;;W4.61;N54.25;10;
2;ENG;Isle of Man;Ballachrink;;W4.40;N54.36;10;
2;ENG;Isle of Man;Ballagawne;;W4.73;N54.08;10;
2;ENG;Isle of Man;Ballajora;;W4.35;N54.28;10;
2;ENG;Isle of Man;Ballaleigh;;W4.59;N54.26;10;
2;ENG;Isle of Man;Ballamodha;;W4.64;N54.12;10;
2;ENG;Isle of Man;Ballaragh;;W4.38;N54.23;10;
2;ENG;Isle of Man;Ballasalla;;W4.63;N54.09;10;
2;ENG;Isle of Man;Ballaterson;;W4.33;N54.30;10;
2;ENG;Isle of Man;Ballaugh;;W4.55;N54.30;10;
2;ENG;Isle of Man;Ballelby;;W4.72;N54.16;10;
2;ENG;Isle of Man;Barregarrow;;W4.58;N54.25;10;
2;ENG;Isle of Man;Bishop's Court;;W4.58;N54.29;10;
2;ENG;Isle of Man;Braaid;;W4.57;N54.15;10;
2;ENG;Isle of Man;Bradda East;;W4.76;N54.09;10;
2;ENG;Isle of Man;Bradda Head;;W4.76;N54.09;10;
2;ENG;Isle of Man;Bradda West;;W4.76;N54.09;10;
2;ENG;Isle of Man;Bride;;W4.40;N54.38;10;
2;ENG;Isle of Man;Calf of Man;;W4.81;N54.05;10;
2;ENG;Isle of Man;Castletown;;W4.66;N54.06;10;
2;ENG;Isle of Man;Churchtown;;W4.43;N54.31;10;
2;ENG;Isle of Man;Clay Head;;W4.39;N54.19;10;
2;ENG;Isle of Man;Colby;;W4.70;N54.09;10;
2;ENG;Isle of Man;Cornaa;;W4.41;N54.27;10;
2;ENG;Isle of Man;Corrany;;W4.38;N54.27;10;
2;ENG;Isle of Man;Cranstal;;W4.37;N54.39;10;
2;ENG;Isle of Man;Cregneash;;W4.78;N54.06;10;
2;ENG;Isle of Man;Cronk;;W4.56;N54.32;10;
2;ENG;Isle of Man;Crosby;;W4.57;N54.17;10;
2;ENG;Isle of Man;Dalby;;W4.74;N54.17;10;
2;ENG;Isle of Man;Derbyhaven;;W4.63;N54.07;10;
2;ENG;Isle of Man;Dhoo;;W4.46;N54.14;10;
2;ENG;Isle of Man;Dhoon;;W4.38;N54.24;10;
2;ENG;Isle of Man;Dhoor;;W4.40;N54.33;10;
2;ENG;Isle of Man;Douglas;;W4.48;N54.14;10;
2;ENG;Isle of Man;Dreemskerry;;W4.35;N54.29;10;
2;ENG;Isle of Man;Eairy;;W4.62;N54.16;10;
2;ENG;Isle of Man;Fistard;;W4.75;N54.06;10;
2;ENG;Isle of Man;Four Roads;;W4.75;N54.07;10;
2;ENG;Isle of Man;Foxdale;;W4.65;N54.16;10;
2;ENG;Isle of Man;Garey;;W4.43;N54.32;10;
2;ENG;Isle of Man;Glass;;W4.50;N54.15;10;
2;ENG;Isle of Man;Glen Auldyn;;W4.41;N54.30;10;
2;ENG;Isle of Man;Glen Mona;;W4.38;N54.26;10;
2;ENG;Isle of Man;Glenchass;;W4.76;N54.06;10;
2;ENG;Isle of Man;Glenmaye;;W4.71;N54.17;10;
2;ENG;Isle of Man;Glentruan;;W4.40;N54.38;10;
2;ENG;Isle of Man;Hillberry;;W4.48;N54.18;10;
2;ENG;Isle of Man;Isle of Man;;W4.47;N54.25;10;
2;ENG;Isle of Man;Jerby East;;W4.49;N54.36;10;
2;ENG;Isle of Man;Jurby Head;;W4.53;N54.35;10;
2;ENG;Isle of Man;Jurby West;;W4.54;N54.35;10;
2;ENG;Isle of Man;Kella;;W4.47;N54.32;10;
2;ENG;Isle of Man;Keristal;;W4.52;N54.12;10;
2;ENG;Isle of Man;Kerroogarroo;;W4.47;N54.34;10;
2;ENG;Isle of Man;Kirby;;W4.51;N54.15;10;
2;ENG;Isle of Man;Kirk Michael;;W4.59;N54.27;10;
2;ENG;Isle of Man;Knocksharry;;W4.65;N54.23;10;
2;ENG;Isle of Man;Laxey;;W4.41;N54.22;10;
2;ENG;Isle of Man;Lhen;;W4.49;N54.37;10;
2;ENG;Isle of Man;Lower Foxdale;;W4.65;N54.17;10;
2;ENG;Isle of Man;Maughold;;W4.32;N54.29;10;
2;ENG;Isle of Man;Maughold Head;;W4.31;N54.29;10;
2;ENG;Isle of Man;Minorca;;W4.41;N54.22;10;
2;ENG;Isle of Man;Mooragh;;W4.38;N54.31;10;
2;ENG;Isle of Man;Neb;;W4.69;N54.18;10;
2;ENG;Isle of Man;Newtown;;W4.57;N54.12;10;
2;ENG;Isle of Man;Old Laxey;;W4.39;N54.21;10;
2;ENG;Isle of Man;Onchan;;W4.46;N54.17;10;
2;ENG;Isle of Man;Orrisdale;;W4.58;N54.30;10;
2;ENG;Isle of Man;Patrick;;W4.69;N54.19;10;
2;ENG;Isle of Man;Peel;;W4.70;N54.22;10;
2;ENG;Isle of Man;Point of Ayre;;W4.37;N54.41;10;
2;ENG;Isle of Man;Port e Vullen;;W4.35;N54.30;10;
2;ENG;Isle of Man;Port Erin;;W4.76;N54.08;10;
2;ENG;Isle of Man;Port St Mary;;W4.75;N54.06;10;
2;ENG;Isle of Man;Pulrose;;W4.51;N54.14;10;
2;ENG;Isle of Man;Quine's Hill;;W4.54;N54.12;10;
2;ENG;Isle of Man;Ramsey;;W4.38;N54.31;10;
2;ENG;Isle of Man;Regaby;;W4.41;N54.34;10;
2;ENG;Isle of Man;Rhencullen;;W4.58;N54.28;10;
2;ENG;Isle of Man;Rue Point;;W4.46;N54.39;10;
2;ENG;Isle of Man;Sandygate;;W4.50;N54.34;10;
2;ENG;Isle of Man;Santon Head;;W4.55;N54.10;10;
2;ENG;Isle of Man;Sartfield;;W4.54;N54.36;10;
2;ENG;Isle of Man;Silver Burn;;W4.63;N54.10;10;
2;ENG;Isle of Man;Spring Valley;;W4.52;N54.14;10;
2;ENG;Isle of Man;St John's;;W4.65;N54.19;10;
2;ENG;Isle of Man;St Judes;;W4.47;N54.33;10;
2;ENG;Isle of Man;St Mark's;;W4.61;N54.13;10;
2;ENG;Isle of Man;Strang;;W4.51;N54.17;10;
2;ENG;Isle of Man;Sulby;;W4.42;N54.31;10;
2;ENG;Isle of Man;Sulby;;W4.49;N54.31;10;
2;ENG;Isle of Man;Surby;;W4.75;N54.09;10;
2;ENG;Isle of Man;The Lhen Trench;;W4.50;N54.32;10;
2;ENG;Isle of Man;Tromode;;W4.49;N54.16;10;
2;ENG;Isle of Man;Union Mills;;W4.52;N54.16;10;